"Overview Product Code
PC Code","Unit
?","Overview of
Items","
HS Code"
60907,S.M.,"?SILK FABRICS
, WOVEN","5007 , 5407.10-01 , 5407.20-01 , 5407.30-01 , 5407.41-01 , 5407.42-01 , 5407.43-01 , 5407.44-01 , 5407.51-01 , 5407.52-01 , 5407.53-01 , 5407.54-01 , 5407.61-01 , 5407.69-01 , 5407.71-01 , 5407.72-01 , 5407.73-01 , 5407.74-01 , 5407.81-01 , 5407.82-01 , 5407.83-01 , 5407.84-01 , 5407.91-01 , 5407.92-01 , 5407.93-01 , 5407.94-01 , 5408.10-01 , 5408.21-01 , 5408.22-01 , 5408.23-01 , 5408.24-01 , 5408.31-01 , 5408.32-01 , 5408.33-01 , 5408.34-01 , 5512.11-01 , 5512.19-01 , 5512.21-01 , 5512.29-01 , 5512.91-01 , 5512.99-01 , 5513.11-011 , 5513.12-011 , 5513.13-011 , 5513.19-011 , 5513.21-011 , 5513.23-011 , 5513.29-011 , 5513.31-011 , 5513.39-011 , 5513.41-011 , 5513.49-011 , 5514.11-011 , 5514.12-011 , 5514.19-11, 5514.21-011 , 5514.22-011 , 5514.23-011 , 5514.29-011 , 5514.30-11 , 5514.41-011 , 5514.42-011 , 5514.43-011 , 5514.49-011 , 5515.11-011 , 5515.12-011 , 5515.13-011 , 5515.19-011 , 5515.21-011 , 5515.22-011 , 5515.29-011 , 5515.91-011 , 5515.99-011 , 5516.11-011 , 5516.12-011 , 5516.13-011 , 5516.14-011 , 5516.21-011 , 5516.22-011 , 5516.23-011 , 5516.24-011 , 5516.31-011 , 5516.32-011 , 5516.33-011 , 5516.34-011 , 5516.41-011 , 5516.42-011 , 5516.43-011 , 5516.44-011 , 5516.91-011 , 5516.92-011 , 5516.93-011 , 5516.94-011 , 5801.90-02 , 5802.20-021 , 5803.00-2~-9, 5811.00-021~-022"
60909,KG,"?SYNTHETIC FABRICS
, WOVEN","5407.10-08~-09, 5407.20-091~-092, 5407.30-09, 5407.41-02, 5407.42-02, 5407.43-02, 5407.44-02, 5407.51-02, 5407.52-02 , 5407.53-02 , 5407.54-02 , 5407.61-02 , 5407.69-02 , 5407.71-02 , 5407.72-02 , 5407.73-02 , 5407.74-02 , 5407.81-09, 5407.82-09 , 5407.83-09 , 5407.84-09 , 5407.91-09 , 5407.92-09 , 5407.93-09 , 5407.94-09 , 5408.21-091 , 5408.22-091 , 5408.23-091 , 5408.24-091 , 5408.31-091 , 5408.32-091 , 5408.33-091 , 5408.34-091 , 5512.11-02 , 5512.19-02 , 5512.21-02 , 5512.29-02 , 5512.91-02 , 5512.99-02 , 5513.11-019 , 5513.11-09 , 5513.12-019 , 5513.12-09 , 5513.13-019 , 5513.13-09 , 5513.19-019 , 5513.19-09 , 5513.21-019 , 5513.21-09 , 5513.23-019 , 5513.23-09 , 5513.29-019 , 5513.29-09 , 5513.31-019 , 5513.31-09 , 5513.39-019 , 5513.39-02?-09 , 5513.41-019 , 5513.41-09 , 5513.49-019 , 5513.49-02?-09 , 5514.11-019 , 5514.11-09 , 5514.12-019 , 5514.12-09 , 5514.19-19 , 5514.19-9 , 5514.21-019 , 5514.21-09 , 5514.22-019 , 5514.22-09 , 5514.23-019 , 5514.23-09 , 5514.29-019 , 5514.29-09 , 5514.30-19 , 5514.30-9 , 5514.41-019 , 5514.41-09 , 5514.42-019 , 5514.42-09 , 5514.43-019 , 5514.43-09 , 5514.49-019 , 5514.49-09 , 5515.11-019 , 5515.11-09 , 5515.12-019 , 5515.12-09 , 5515.13-019 , 5515.13-09 , 5515.19-019 , 5515.19-09 , 5515.21-019 , 5515.21-09 , 5515.22-019 , 5515.22-09 , 5515.29-019 , 5515.29-09 , 5515.91-019 , 5515.91-09 , 5515.99-019 , 5515.99-09 , 5516.11-019~-091 , 5516.12-019~-091 , 5516.13-019?-091 , 5516.14-019 , 5516.21-019~-091 , 5516.22-019~-091 , 5516.23-019~-091 , 5516.24-019~-091 , 5516.31-019~-091 , 5516.32-019~-091 , 5516.33-019~-091 , 5516.34-019~-091 , 5516.41-019~-091 , 5516.42-019~-091 , 5516.43-019~-091 , 5516.44-019?-091, 5516.91-019~-091, 5516.92-019~-091, 5516.93-019, 5516.94-019~-091, 5902.10-02, 5902.20-09"
60911,KG,"
Tulle ?and embroidery","5804, 5806, 5807.10, 5810"
60913,MT,"?FLOOR
COVERINGS","57, 5904"
60915,KG,"?KNITTED
OR CROCHED FABRICS",60
611,,"
Non- metallic mineral products","2519.90-09, 2520.20, 2522~2523, 3816, 68~69, 7001~7018, 7019.11, 7019.14~7019.19, 7019.80~7019.90, 7020~7101, 7102.31~7102.39, 7103~7104"
61101,,"?Glass and related productsGLASS
AND GLASSWARE","7001~7018, 7019.11, 7019.14~7019.19, 7019.80~7019.90, 7020"
61103,GR,"?Diamonds
?",7102.31?7102.39
61105,KG,"?Precious and semi
- precious stones",7103?7104
613,MT,"IRON
AND STEEL PRODUCTS","7201~7203, 7204.50, 7205~7307"
61301,MT,"
PIG ?IRON",7201
61303,MT,"?SPIEGELEISEN
& FERRO-ALLOY",7202
61305,MT,"?IRON AND STEEL
WIRE, BARS","7213~7217, 7221~7223, 7227~7229"
61307,MT,"?FLAT
-ROLLED PRODUCTS","7208~7212, 7219~7220, 7225~7226"
61309,MT,"
Tubes, Pipes and ?Fittings",7303?7307
615,MT,"
Non -ferrous metals","7106-7107, 7110-7111, 7402-7403, 7405-7412, 7502, 7504-7507, 7601, 7603-7609, 7801, 7804, 7806.00-1, 7901 , 7903.90~7905.00, 7907.00-1, 8001, 8003, 8007.00-1~-3, 8101~8103, 8104.11~8104.19, 8104.30~8104.90, 8105?8113"
61501,KG,"?SILVER AND PLATINUM
(GROUP)","7106?7107, 7110?7111"
6150101,KG,"?(Platinum group metals)
PLATINUM OF GROUP",7110?7111
61501011,GR,"??PLATINUM
?","7110.11, 7110.19-19"
61501012,KG,"??Palladium
?",7110.21?7110.29
61501013,GR,"??RHODIUM
?",7110.31?7110.39
6150103,KG,"?(Silver and silver-clad metal)
SILVER, CLAD WITH SILVER",7106?7107
61501031,KG,"??SILVER
?",7106
61503,MT,"?COPPER AND
COPPER ALLOYS","7402?7403, 7405?7412"
61505,MT,"
Nickel ?and its alloys","7502, 7504?7507"
61507,MT,"?Aluminum and its
alloys","7601, 7603?7609"
61509,MT,"?LEAD AND
LEAD ALLOYS","7801, 7804, 7806.00-1"
61511,MT,"
Zinc and its ?alloys","7901, 7903.90?7905.00, 7907.00-1"
61513,MT,"?TIN AND
TIN ALLOYS","8001, 8003, 8007.00-1?-3"
61515,MT,"
Cobalt ?and its alloys",8105
617,,"
MANUFACTURES OF METALS","7308~7326, 7413~7419, 7508, 7610~7616, 7806.00-9, 7907.00-9, 8007.00-9, 82, 8301~8303, 8306~8311"
61701,MT,"?STEEL STRUCTURES AND CONSTRUCTION MATERIALS
STRUCTURAL PARTS IN IRON",7308
61703,MT,"?Nails, screws
, nuts, bolts, etc.","7317?7318, 7415"
61705,KG,"?TOOL FOR USE
IN HAND",8201?8210
61707,,"?CUTLERY
?",8211?8215
61709,KG,"
HOUSEHOLD EQUIPMENT ?MADE OF BASE METALS","7321, 7323, 7418.10, 7615.10, 8306.21?8306.30"
7,,"
Machinery and transport equipment","84, 8501~8512, 8514~8522, 8523.52, 8524~8535, 8536.10~8536.69, 8536.90~8544.60, 8545~8709, 8711~8714, 8716~8802, 8806~8807, 89, 9014.20~9014.90, 9017.30-01, 9018.11~9018.20, 9018.41, 9018.50-01, 9018.90-021, 9018.90-023 , 9022 , 9026.20-01 , 9027.81 , 9027.89-01 , 9027.90-01 , 9028.30 , 9029.20-01 , 9030 , 9031.80-01 , 9031.90-01 , 9032.10-01 , 9032.89-01 , 9032.90"
701,,"General
machinery","8401~8413, 8414.10~8414.40, 8414.59~8414.90, 8415~8417, 8418.30~8418.99, 8419~8421, 8422.19~8422.90, 8423~8449, 8450.20~8451.10, 8451.29~8467.19, 8467.81~8467.99, 8468~8487, 8508.19~8508.70, 8528.42, 8528.52, 8528.62 , 8608 , 8701.10, 8701.30, 8701.91-01, 8701.92-01, 8701.93-01, 8701.94-01, 8701.95-01"
70101,MT,"?POWER
GENERATING MACHINE","8401~8402, 8404, 8406~8412"
7010101,KG,"
( Steam ?generating boilers, etc.)","8402, 8404"
7010103,KG,"?(Steam turbines)
STEAM TURBINS",8406
7010105,KG,"?(Aircraft internal combustion engine)
AIRCRAFT ENGINES","8407.10, 8409.10, 8411.11~8411.22, 8411.81-01, 8411.91, 8411.99-01, 8412.10, 8412.80, 8412.90-021"
7010107,KG,"?(Other internal combustion engines)
INTERNAL COMBUSTION ENGINE","8407.21?8407.90, 8408, 8409.91?8409.99"
7010109,KG,"
( Parts ?for gas turbines)",8411.99-09
70103,,"?AGRICULTURAL
MACHINERY","8424.41~8424.82, 8432~8436, 8701.10, 8701.30, 8701.91-01, 8701.92-01, 8701.93-01, 8701.94-01, 8701.95-01"
7010301,NO,"?(Tractors (for non-road driving))
TRACTORS","8701.10 , 8701.30 , 8701.91-01 , 8701.92-01 , 8701.93-01 , 8701.94-01 , 8701.95-01"
70105,,"?Office equipment
OFFICE MACHINES","8443.31~8443.39, 8443.99, 8470~8473, 8528.42, 8528.52, 8528.62"
7010505,NO,"?(Computers (including peripheral equipment))
COMPUTERS AND UNITS","8443.31?8443.32, 8471, 8528.42, 8528.52, 8528.62"
7010507,KG,"?(Computer parts) PARTS
OF COMPUTER","8443.99 , 8473.30"
70107,,"?METALWORKING
MACHINERY","8454~8463, 8466.93~8466.94, 8468, 8485.10"
7010701,NO,"?(Machine tools)
MACHINE TOOLS",8456?8461
70107011,NO,"??LATHE
?",8458
70107012,NO,"??DRILLING
, BORING MACHINES",8459.21?8459.49
70107013,NO,"???Milling Machine?
MILLING MACHINES",8459.51?8459.69
70107014,NO,"???Grinding Machine?
GRINDING MACHINES",8460.12?8460.39
7010703,NO,"
(Presses and forging machines ?)","8462.11?8462.19, 8462.61?8462.69"
7010707,KG,"?(Metal rolling mills
)",8455
70109,,"?Textile
machines","8444~8449, 8450.20~8451.10, 8451.29~8451.90"
7010901,NO,"?(
Knitting machines)",8447.11?8447.20
70110,MT,"?Pulp manufacturing, paper making and paper processing
machines","8439, 8441"
70111,,"?Printing and bookbinding
machines","8440, 8442, 8443.11?8443.19, 8443.91"
7011101,,"?(Printing Machinery)
PRINTING,BOOKBIND'MACHINES",8443.11?8443.19
70115,MT,"?Food processing
machines","8421.11, 8437?8438"
70117,MT,"?Construction and mining
machines","8429~8430, 8431.41~8431.43, 8431.49-02, 8474, 8479.10"
70119,,"?HEATING
OR COOLING MACHINE","8403, 8405, 8415~8417, 8418.30~8418.99, 8419"
7011901,,"?(Air conditioner)
AIR CONDITIONER",8415
70121,,"?PUMP AND
CENTRIFUGES","8413, 8414.10~8414.40, 8414.59~8414.90, 8421.12~8421.99"
7012101,KG,"?(Liquid pump)
PUMP FOR LIQUID","8413.11?8413.81, 8413.91"
7012103,NO,"
AIR OR GAS ?COMPRESSORS","8414.30?8414.40, 8414.80-01, 8414.80-093"
7012105,KG,"?(Centrifuge)
CONTRIFUGES","8421.12?8421.19, 8421.91"
70123,KG,"?MECHANICAL
HANDLING EQUIPMENT.","8425?8428, 8431.10?8431.39, 8431.49-01"
7012301,KG,"
( Lifts, elevators, hoists ?)","8425, 8427, 8428.10?8428.60, 8428.90"
70125,KG,"?Mineral, wood, and other material processing machines
POWERED-TOOLS NES","8464~8465, 8466.10~8466.92, 8467.11~8467.19, 8467.81~8467.99, 8479.30"
70127,KG,"?Cocks
, valves and parts",8481
70131,KG,"?Semiconductor manufacturing equipment
SEMICON MACHINERY ETC",8486
7013101,KG,"?(Semiconductor Manufacturing Equipment
)",8486.10?8486.20
703,,"ELECTRICAL
MACHINERY","8414.51, 8418.10~8418.29, 8422.11, 8450.11~8450.19, 8451.21, 8467.21~8467.29, 8501~8507, 8508.11, 8509~8512 , 8514~8522, 8523.52, 8524~8527, 8528.49, 8528.59, 8528.69~8536.69, 8536.90~8544.60, 8545~8549, 9014.20?9014.90, 9017.30-01 , 9018.11~9018.20 , 9018.41 , 9018.50-01 , 9018.90-021 , 9018.90-023 , 9022 , 9026.20-01 , 9027.81 , 9027.89-01 , 9027.90-01 , 9028.30 , 9029.20-01 , 9030 , 9031.80-01 , 9031.90-01 , 9032.10-01 , 9032.89-01 , 9032.90"
70301,,"?Heavy electrical equipmentELECTRICAL
POWER MACHINERY",8501 to 8504
7030101,NO,"?(Generators and motors)
GENERATORS AND MOTORS","8501, 8502.11?8502.39"
70303,KG,"?ELECTRICAL
APPARATUS","8535, 8536.10~8536.69, 8536.90, 8537~8538"
7030303,KG,"?(Electrical circuit opening and closing and protection devices)
SWITCHES, RELAYS, FUSES, ETC.","8535, 8536.10?8536.69, 8536.90"
70304,KG,"
INSULATED ?WIRE AND CABLE",8544.11?8544.60
70305,,"
AUDIO AND VISUAL ?APPARATUS","8518~8522, 8524, 8525.81~8525.89, 8527, 8528.49, 8528.59, 8528.69~8528.73, 8529"
7030501,NO,"?RADIO
-BROADCAST RECIEVERS",8527
7030505,NO,"?(Video recording and playback device)
VIDEO REC OR REPRO APP","8521, 8525.81?8525.89"
7030511,NO,"?(Amplifiers, speakers, microphones)
AMPLIFIERS, LOUDSPEAKERS",8518.10?8518.50
7030515,KG,"?(Parts of audio and visual equipment)
PARTS OF AUDIO, VISUAL APP.","8518.90 , 8522"
70307,,"?Telecommunications equipment
TELEPHONY, TELEGRAPHY","8517, 8525.50?8525.60, 8526"
7030703,NO,"?(Telephone)
TELEPHONE SETS",8517.11?8517.18
70309,,"?Domestic Electrical Equipment
.","8414.51, 8418.10~8418.29, 8422.11, 8450.11~8450.19, 8451.21, 8508.11, 8509~8510, 8516"
7030901,KG,"?(Electric refrigerator)
REFRIGERATORS AND PARTS",8418.10?8418.29
7030903,KG,"?(Electric Fan)
ELECTRIC FANS",8414.51
7030905,KG,"
( HAIR ?DRYER)",8516.31
7030907,KG,"?(Microwave oven)
MICROWAVE OVENS",8516.5
70311,,"?Semiconductors and other electronic parts
SEMICONDUCTORS ETC","8523.52, 8540?8542"
7031101,NO,"?(Transistors, etc.)
TRANSISTORS",8541.21?8541.29
7031103,NO,"?(IC)
INTEGRATED CIRCUITS",8542.31?8542.39
70313,,"?ELECTRICAL
MEASURING","9014.20?9014.90, 9017.30-01, 9026.20-01, 9027.81, 9027.89-01, 9027.90-01, 9028.30, 9029.20-01, 9030, 9031.80-01 , 9031.90-01 , 9032.10-01 , 9032.89-01 , 9032.90"
70315,KG,"
ELECTRICAL ?WELDING MACHINE",8515
70317,,"?ELECTRIC
LAMPS",8539
705,,"TRANSPORT
EQUIPMENT","8601~8607, 8609, 8701.21~8701.29, 8701.91-09, 8701.92-09, 8701.93-09, 8701.94-09, 8701.95-09, 8702~8709, 8711~8714, 8716~8802, 8806~8807, 89"
70501,NO,"?MOTOR
VEHICLES","8701.21~8701.29, 8701.91-09, 8701.92-09, 8701.93-09, 8701.94-09, 8701.95-09, 8702~8706"
7050101,NO,"?(Passenger Cars)
PASSENGER MOTOR CARS",8703.21?8703.90
7050103,NO,"
( Buses ?and Trucks)","8702.10~8702.40, 8703.10, 8704~8705"
70503,KG,"?PARTS OF
MOTOR VEHICLES",8707?8708
70504,,"?MotorcyclesCYCLES
WITH ENGINES","8711, 8714.10"
7050401,NO,"?(Motorcycles, motorbikes)
MOTORCYCLES, AUTOCYCLES",8711
70505,MT,"?AIRCRAFT
?","8801?8802, 8806?8807"
70507,NO,"?SHIPS
AND BOATS",89
7050701,NO,"?(Ships
)","8901?8902, 8908"
70507011,NO,"??TANKER
, STEEL",8901.2
70507012,NO,"???Cargo ship/cargo passenger ship?
CARGO-PASSENGERS SHIPS","8901.10, 8901.30?8901.90"
70509,NO,"?Bicycles
?",8712
8,,"
Miscellaneous Products","3215.90, 3406, 37, 3922~3926, 4015, 4202~4203, 4206, 4303~4304, 46, 49, 61~62, 64, 6504~6507, 66~67, 7113~7117, 8304~8305, 8513, 8523.21~8523.51, 8523.59~8523.80, 8536.70, 8544.70, 8715, 8804~8805, 9001~9013, 9014.10, 9015~9016, 9017.10~9017.20, 9017.30-09, 9017.80~9017.90, 9018.31~9018.39, 9018.49, 9018.50-09~9018.90-01, 9018.90-022 , 9018.90-024~-029 , 9019~9021 , 9023~9025 , 9026.10 , 9026.20-09 , 9026.80~9027.50 , 9027.89-09 , 9027.90-09, 9028.10~9028.20, 9028.90~9029.10, 9029.20-09, 9029.90, 9031.10~9031.49, 9031.80-09, 9031.90-09, 9032.10-09, 9032.20~9032.81, 9032.89-09, 9033, 91~92, 9303~9304, 9305.20, 9305.99~9306.29, 9307, 94~97"
801,KG,"
Lighting fixtures","8513, 9405.11~9405.29, 9405.41~9405.99"
803,KG,"Furniture
?",9401?9404
805,KG,"Bags
?","4202, 9605"
807,,"
CLOTHING AND ACCESSORIES","4015 , 4203 , 4303~4304 , 61~62 , 6504~6507"
80701,DZ,"?CLOTHING
?","6201~6208 , 6209.20-21 , 6209.20-222 , 6209.30-21 , 6209.30-222 , 6209.90-21 , 6209.90-29 , 6210~6211"
8070101,DZ,"?(Men's clothing)
MEN'S & BOY'S DRESS","6201 , 6203 , 6205 , 6210.20 , 6210.40 , 6211.11 , 6211.20-31 , 6211.32 ~ 6211.39"
8070103,DZ,"?(Women's and infants' clothing)
WOMEN'S & GIRL'S DRESS","6202 , 6204 , 6206 , 6209.20-21 , 6209.20-222 , 6209.30-21 , 6209.30-222 , 6209.90-21 , 6209.90-29 , 6210.30 , 6210.50, 6211.12, 6211.20-39, 6211.42?6211.49"
8070105,DZ,"
( Undergarments ?)",6207?6208
80703,KG,"
CLOTHING ?ACCESSORIES","4203.21~4203.40, 6209.20-1, 6209.20-221, 6209.30-1, 6209.30-221, 6209.90-1, 6209.90-22, 6212~6217"
80705,,"
CLOTHING, ?KNITTED OR CLOTHES",61
8070501,DZ,"
STOCKINGS AND THE ?LIKE","6111.20-29, 6111.30-29, 6111.90-29, 6115.10-9, 6115.30?6115.99"
8070503,DZ,"
( Undergarments ?)","6107~6109, 6111.20-21, 6111.30-21, 6111.90-21, 6115.10-1, 6115.21~6115.29"
8070505,DZ,"?(Sweaters
)","6103.31~6103.33, 6104.31~6104.33, 6110"
809,KG,"Footwear
?",64
811,,"
PRECISION INSTRUMENTS","8536.70, 8544.70, 9001~9013, 9014.10, 9015~9016, 9017.10~9017.20, 9017.30-09, 9017.80~9017.90, 9018.31~9018.39, 9018.49, 9018.50-09~9018.90-01, 9018.90-022, 9018.90-024~-029, 9019~9021, 9023~9025, 9026.10 , 9026.20-09 , 9026.80~9027.50, 9027.89-09, 9027.90-09, 9028.10~9028.20, 9028.90~9029.10, 9029.20-09, 9029.90, 9031.10~9031.49, 9031.80-09, 9031.90-09, 9032.10-09, 9032.20~9032.81, 9032.89-09, 9033~9112, 9114"
81101,,"?SCIENTIFIC
, OPTICAL INST","8536.70, 8544.70, 9001~9013, 9014.10, 9015~9016, 9017.10~9017.20, 9017.30-09, 9017.80~9017.90, 9018.31~9018.39, 9018.49, 9018.50-09~9018.90-01, 9018.90-022, 9018.90-024~-029, 9019~9021, 9023~9025, 9026.10 , 9026.20-09 , 9026.80~9027.50, 9027.89-09, 9027.90-09, 9028.10~9028.20, 9028.90~9029.10, 9029.20-09, 9029.90, 9031.10~9031.49, 9031.80-09, 9031.90-09, 9032.10-09, 9032.20~9032.81, 9032.89-09, 9033"
8110101,,"?(Measuring instruments)
METERS INSTRUMENTS","9014.10, 9015~9016, 9017.10~9017.20, 9017.30-09, 9017.80~9017.90, 9023~9025, 9026.10, 9026.20-09, 9026.80~9027.50, 9027.89-09, 9027.90-09, 9028.10~9028.20, 9028.90~9029.10, 9029.20-09, 9029.90, 9031.10?9031.49, 9031.80-09, 9031.90-09, 9032.10-09, 9032.20?9032.81, 9032.89-09, 9033"
81101011,NO,"???Adjustment equipment and calculation tools?
FLOW,PRESSURE ETC.","9026.20-09, 9032.10-09, 9032.20?9032.81, 9032.89-09"
8110105,KG,"?(Camera and parts thereof
)","9006.30?9006.59 , 9006.91"
81103,,"
WATCHES, CLOCKS ?AND PARTS","9101?9112, 9114"
8110301,,"?(Watches
)","9101~9103, 9105, 9108~9109, 9111"
81103011,NO,"???Pocket Watches and Wristwatches?
WRIST, POCKET WATCHES",9101?9102
813,,"Other miscellaneous
products","3215.90, 3406, 37, 3922~3926, 4206, 46, 49, 66~67, 7113~7117, 8304~8305, 8523.21~8523.51, 8523.59~8523.80 , 8715 , 8804~8805 , 9113 , 92 , 9303~9304 , 9305.20 , 9305.99~9306.29 , 9307 , 9405.31~9405.39 , 9406~9604 , 9606?9620, 97"
81301,,"?PHOTOGRAPHIC
SUPPLIES",37
8130101,,"?(Photographic films)
FILM, PLATES AND SHEETS","3701, 3702.10~3702.54, 3702.56~3702.98, 3703, 3705"
8130105,M,"?(Film for filming)
CINE FILMS, EXPOSED",3706
81303,,"?Recording media (including recorded media)
BLANK/RECORDED MEDIA","8523.21~8523.51, 8523.59~8523.80"
81305,KG,"?BOOKS
AND NEWSPAPERS","4901?4904, 4905.20"
81307,KG,"
Plastic ?products",3922 to 3926
81309,KG,"?Toys and games
, indoor games, etc.","9405.31?9405.39, 9503?9505"
8130901,KG,"?(Play equipment)
INDOOR GAMES",9504
81311,,"
SPORTING ?GOODS",9506?9507
8131101,,"?(Golf equipment)
GOLF REQUISITES",9506.31?9506.39
81313,,"
OFFICE & STATIONARY ?GOODS","3215.90, 8304~8305, 9608~9612"
8131301,,"?(Fountain pens and pencils)
PENS, PENCILES, FOUNTAINPENS",9608?9609
81315,KG,"
Works of ?art, antiques and collectibles",97
81317,MT,"
Carving ?and molding materials",9601?9602
9,,"COMMODITIES
NOT CLASSIFIED","00, 7108.11~7108.13, 7109, 7112.91, 7118.10, 7118.90-09, 8710, 9301~9302, 9305.10, 9305.91, 9306.30?9306.90"
901,,"
RE-IMPORT GOODS",0000.00-09
903,KG,"GOLD
?","7108.11?7108.13, 7109"
